TurnsToWin,CodeLength,NumColors
1,6,5
1,6,5
1,6,5
1,6,5
1,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
2,6,5
3,6,5
3,6,5
3,6,5
3,6,5
3,6,5
3,6,5
3,6,5
3,6,5
3,6,5
3,6,5
3,6,5
3,6,5
3,6,5
